Age,Gender,Work tenure,Education,Job position,TOI (turnover intention),working hour,satisfaction with workload,satisfied  compensation , good relationship with peers , satisfied with career and  opportunity,satisfied with job profession , monthly average expenditure, satisfied with  work-life balance, work is meaningful ,family supports , mentally well and do not have anxiety 
26-35 year,Male,3 - 5 years,Master's degree,Senior lecturer,1,less than 40,4,3,3,3,3,5.001.000IDR-10.000.000 IDR,3,3,3,3
26-35 year,Female,Less than 2 years,Bachelor's degree ,Lecturer ,0,less than 40,3,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,3
46-55 year,Female,more than 5 years,Doctorate or other advanced degree,Professor,1,40-45,3,4,4,4,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,4,4,4
lebih dari 56 year,Female,more than 5 years,Doctorate or other advanced degree,Professor,0,51-55,3,4,4,4,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,5,5,4
26-35 year,Female,3 - 5 years,Bachelor's degree ,Grade 3 staff (Junior staff),0,40-45,3,2,5,3,4,3.000.000 IDR -5.000.000 IDR,3,5,5,4
26-35 year,Female,more than 5 years,Master's degree,Lecturer ,1,40-45,4,2,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,5,5
26-35 year,Female,3 - 5 years,Bachelor's degree ,Grade 2 staff (Mid level  staff) ,0,40-45,3,3,4,4,3,3.000.000 IDR -5.000.000 IDR,3,4,4,4
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,1,40-45,4,2,5,4,4,3.000.000 IDR -5.000.000 IDR,4,5,4,5
36-45 year,Female,more than 5 years,Bachelor's degree ,Grade 2 staff (Mid level  staff) ,0,40-45,4,3,4,3,3,5.001.000IDR-10.000.000 IDR,3,4,4,4
36-45 year,Female,more than 5 years,Doctorate or other advanced degree,Lecturer ,1,40-45,2,2,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,2
26-35 year,Male,more than 5 years,Doctorate or other advanced degree,Lecturer ,0,46-50,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
46-55 year,Female,more than 5 years,Doctorate or other advanced degree,Associate professor,0,51-55,4,3,4,4,4,5.001.000IDR-10.000.000 IDR,4,5,5,5
lebih dari 56 year,Female,more than 5 years,Doctorate or other advanced degree,Professor,0,less than 40,4,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,5,4
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,1,40-45,4,3,5,5,4,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,4,4,3
26-35 year,Female,more than 5 years,Master's degree,Lecturer ,1,56more than,2,1,4,4,4,3.000.000 IDR -5.000.000 IDR,2,5,4,4
26-35 year,Male,Less than 2 years ,Master's degree,Lecturer ,1,40-45,2,2,3,2,2,5.001.000IDR-10.000.000 IDR,2,2,3,2
18-25 year,Male,Less than 2 years ,High School ,Grade 3 staff (Junior staff),0,less than 40,5,5,5,5,5,3.000.000 IDR -5.000.000 IDR,5,5,4,5
36-45 year,Male,3 - 5 years,Bachelor's degree ,Grade 2 staff (Mid level  staff) ,1,51-55,2,2,3,2,2,3.000.000 IDR -5.000.000 IDR,2,3,2,1
36-45 year,Female,more than 5 years,Master's degree,Lecturer ,0,51-55,4,2,5,4,4,5.001.000IDR-10.000.000 IDR,3,4,5,5
lebih dari 56 year,Female,more than 5 years,Master's degree,Senior lecturer,0,40-45,4,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,5,5,4
lebih dari 56 year,Male,more than 5 years,Master's degree,Lecturer ,0,less than 40,4,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,4,4
26-35 year,Female,Less than 2 years ,Bachelor's degree ,Lecturer ,0,46-50,3,3,4,3,3,5.001.000IDR-10.000.000 IDR,3,3,2,2
36-45 year,Male,3 - 5 years,Master's degree,Grade 1 staff (senior staff) ,1,46-50,2,3,4,2,3,10.000.000 IDR-20.000.000 IDR,3,2,2,3
46-55 year,Male,more than 5 years,Master's degree,Grade 1 staff (senior staff) ,1,46-50,3,3,4,3,3,10.000.000 IDR-20.000.000 IDR,3,3,2,2
36-45 year,Male,more than 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,0,less than 40,5,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,4,4
36-45 year,Female,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
36-45 year,Male,3 - 5 years,Doctorate or other advanced degree,Professor,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
26-35 year,Female,Less than 2 years ,Master's degree,Senior lecturer,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
46-55 year,Male,more than 5 years,Master's degree,Grade 1 staff (senior staff) ,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
36-45 year,Male,more than 5 years,Doctorate or other advanced degree,Senior lecturer,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
26-35 year,Male,3 - 5 years,Master's degree,Lecturer ,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
18-25 year,Female,Less than 2 years ,Bachelor's degree ,Grade 1 staff (senior staff) ,0,less than 40,4,3,3,2,3,3.000.000 IDR -5.000.000 IDR,2,3,5,3
18-25 year,Male,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,46-50,2,3,3,3,3,3.000.000 IDR -5.000.000 IDR,3,3,2,2
36-45 year,Male,3 - 5 years,Master's degree,Senior lecturer,1,46-50,3,3,3,3,3,5.001.000IDR-10.000.000 IDR,3,3,2,3
26-35 year,Male,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,46-50,4,4,3,3,3,3.000.000 IDR -5.000.000 IDR,3,3,2,4
18-25 year,Female,Less than 2 years ,Bachelor's degree ,Lecturer ,1,40-45,3,2,4,3,3,3.000.000 IDR -5.000.000 IDR,3,4,4,4
18-25 year,Female,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,40-45,3,3,3,3,3,3.000.000 IDR -5.000.000 IDR,3,3,3,2
26-35 year,Male,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,46-50,2,3,3,3,3,3.000.000 IDR -5.000.000 IDR,3,4,3,3
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Professor,1,46-50,3,3,4,3,3,10.000.000 IDR-20.000.000 IDR,3,4,3,3
36-45 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,0,less than 40,4,4,4,4,4,10.000.000 IDR-20.000.000 IDR,4,4,4,4
36-45 year,Male,3 - 5 years,Master's degree,Senior lecturer,1,46-50,3,3,3,3,3,5.001.000IDR-10.000.000 IDR,4,4,3,3
18-25 year,Female,Less than 2 years ,Master's degree,Grade 2 staff (Mid level  staff) ,1,less than 40,4,3,4,4,3,3.000.000 IDR -5.000.000 IDR,4,4,5,4
46-55 year,Female,more than 5 years,Doctorate or other advanced degree,Associate professor,0,51-55,3,3,4,4,4,5.001.000IDR-10.000.000 IDR,3,3,3,3
lebih dari 56 year,Female,more than 5 years,Master's degree,Senior lecturer,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,3,4,4,4
36-45 year,Male,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,46-50,3,3,3,3,3,5.001.000IDR-10.000.000 IDR,3,3,3,3
26-35 year,Male,Less than 2 years ,Bachelor's degree ,Lecturer ,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
26-35 year,Male,Less than 2 years ,Master's degree,Grade 2 staff (Mid level  staff) ,0,less than 40,4,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,4
36-45 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,0,less than 40,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
26-35 year,Male,Less than 2 years ,Master's degree,Lecturer ,0,less than 40,4,5,5,5,5,5.001.000IDR-10.000.000 IDR,4,4,5,4
26-35 year,Female,Less than 2 years ,High School ,Grade 3 staff (Junior staff),0,40-45,4,4,4,4,3,3.000.000 IDR -5.000.000 IDR,4,4,4,3
46-55 year,Male,more than 5 years,Master's degree,Grade 1 staff (senior staff) ,0,less than 40,4,3,3,4,4,10.000.000 IDR-20.000.000 IDR,5,5,5,4
26-35 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,1,51-55,2,2,4,2,3,5.001.000IDR-10.000.000 IDR,3,4,3,2
36-45 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,0,less than 40,4,4,3,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
18-25 year,Female,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,51-55,2,2,3,2,3,3.000.000 IDR -5.000.000 IDR,2,3,2,2
18-25 year,Male,Less than 2 years ,Master's degree,Lecturer ,1,51-55,2,2,3,3,3,3.000.000 IDR -5.000.000 IDR,3,3,2,3
36-45 year,Male,3 - 5 years,Doctorate or other advanced degree,Associate professor,1,51-55,2,3,3,3,2,10.000.000 IDR-20.000.000 IDR,3,3,2,2
lebih dari 56 year,Male,more than 5 years,Doctorate or other advanced degree,Professor,1,46-50,3,2,2,2,3,10.000.000 IDR-20.000.000 IDR,3,4,2,3
46-55 year,Female,more than 5 years,Doctorate or other advanced degree,Associate professor,1,51-55,2,2,3,3,2,10.000.000 IDR-20.000.000 IDR,3,4,2,2
18-25 year,Female,Less than 2 years ,Bachelor's degree ,Lecturer ,1,less than 40,4,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,3
18-25 year,Female,Less than 2 years ,Bachelor's degree ,Lecturer ,1,46-50,2,3,4,4,4,5.001.000IDR-10.000.000 IDR,4,5,5,3
lebih dari 56 year,Male,more than 5 years,Master's degree,Grade 1 staff (senior staff) ,1,51-55,2,2,4,3,3,10.000.000 IDR-20.000.000 IDR,3,4,2,2
18-25 year,Female,Less than 2 years ,Bachelor's degree ,Professor,1,40-45,3,4,3,3,3,5.001.000IDR-10.000.000 IDR,3,3,3,3
26-35 year,Female,3 - 5 years,Bachelor's degree ,Associate professor,1,51-55,4,3,3,4,5,10.000.000 IDR-20.000.000 IDR,4,4,4,2
18-25 year,Female,more than 5 years,Bachelor's degree ,Lecturer ,0,40-45,4,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,4
18-25 year,Female,Less than 2 years ,High School ,Grade 3 staff (Junior staff),1,40-45,4,4,4,5,5,3.000.000 IDR -5.000.000 IDR,4,5,5,4
18-25 year,Female,Less than 2 years ,Master's degree,Grade 1 staff (senior staff) ,1,less than 40,3,3,4,3,3,3.000.000 IDR -5.000.000 IDR,3,3,3,3
26-35 year,Female,3 - 5 years,Master's degree,Senior lecturer,1,51-55,2,2,2,3,3,5.001.000IDR-10.000.000 IDR,3,4,2,2
18-25 year,Male,Less than 2 years ,High School ,Grade 3 staff (Junior staff),0,less than 40,4,3,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,4
26-35 year,Male,3 - 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,0,less than 40,4,3,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
46-55 year,Male,more than 5 years,Doctorate or other advanced degree,Associate professor,0,less than 40,4,5,5,5,5,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),5,5,5,4
36-45 year,Female,more than 5 years,Bachelor's degree ,Grade 2 staff (Mid level  staff) ,1,56more than,3,3,4,3,3,3.000.000 IDR -5.000.000 IDR,3,3,5,3
26-35 year,Female,more than 5 years,High School ,Grade 3 staff (Junior staff),0,46-50,3,3,3,3,3,3.000.000 IDR -5.000.000 IDR,3,3,4,3
36-45 year,Female,more than 5 years,High School ,Grade 3 staff (Junior staff),1,40-45,4,4,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,3,4
26-35 year,Male,more than 5 years,Bachelor's degree ,Grade 2 staff (Mid level  staff) ,0,40-45,4,4,4,2,3,5.001.000IDR-10.000.000 IDR,4,3,4,4
26-35 year,Male,3 - 5 years,Master's degree,Senior lecturer,0,40-45,3,3,4,4,4,3.000.000 IDR -5.000.000 IDR,4,4,4,4
26-35 year,Male,more than 5 years,Master's degree,Grade 2 staff (Mid level  staff) ,0,46-50,4,3,5,3,4,3.000.000 IDR -5.000.000 IDR,4,4,4,4
26-35 year,Female,more than 5 years,Bachelor's degree ,Grade 2 staff (Mid level  staff) ,0,40-45,3,3,5,3,4,3.000.000 IDR -5.000.000 IDR,4,4,4,4
36-45 year,Male,more than 5 years,Bachelor's degree ,Lecturer ,0,40-45,4,4,4,4,4,5.001.000IDR-10.000.000 IDR,4,4,4,4
18-25 year,Female,3 - 5 years,Master's degree,Lecturer ,0,46-50,4,4,5,5,5,3.000.000 IDR -5.000.000 IDR,4,4,4,4
lebih dari 56 year,Male,more than 5 years,Doctorate or other advanced degree,Professor,0,46-50,4,4,4,3,5,Greater than 20.000.000 IDR (Lebih besar dari 20000 IDR),4,5,4,4
36-45 year,Female,more than 5 years,Bachelor's degree ,Grade 1 staff (senior staff) ,0,40-45,4,3,4,4,3,5.001.000IDR-10.000.000 IDR,4,4,4,4
